foodName,proteinAmt,calorieAmt,cost
Chicken Breast,31,165,0.99
Egg,6,72,0.99
Greek Yogurt,17,100,0.99
Oatmeal,6,158,0.99
Almonds,6,164,0.99
Salmon Fillet,22,208,0.99
Peanut Butter,8,188,0.99
Milk Whole,8,150,0.99
Ground Beef Lean,26,250,0.99
Cheddar Cheese,7,113,0.99
Wholesome Protein Medley,20,141,0.99
Herbal Veggie Protein Bar,23,599,0.99
Golden Beef Protein Bar,8,390,0.99
Sweet Beef Nuggets,19,472,0.99
Wholesome Grain Strips,39,328,0.99
Rustic Nut Crackers,10,348,0.99
Tangy Garden Wafers,20,555,0.99
Organic Pepper Granola,30,232,0.99
Wild Herb Energy Mix,31,366,0.99
Organic Veggie Wafers,5,122,0.99
Wholesome Herb Wafers,29,150,0.99
Wild Chili Granola,11,298,0.99
Wild Grain Protein Bar,1,421,0.99
Roasted Chicken Blend,14,465,0.99
Premium Berry Energy Mix,17,212,0.99
Herbal Veggie Slices,9,86,0.99
Wild Maple Nuggets,37,580,0.99
Classic Maple Medley,17,422,0.99
Hearty Tomato Blend,34,480,0.99
Wholesome Fruit Wafers,32,150,0.99
Glazed Oat Medley,14,265,0.99
Savory Grain Mix,27,107,0.99
Smoked Pepper Blend,13,335,0.99
Fusion Nut Soup,40,135,0.99
Golden Pepper Medley,6,82,0.99
Savory Herb Protein Bar,13,394,0.99
Wholesome Almond Crunch,11,348,0.99
Zesty Chili Bites,34,470,0.99
Tangy Chicken Crumbles,22,547,0.99
Savory Veggie Medley,6,131,0.99
Sweet Pepper Nuggets,18,226,0.99
Glazed Fruit Soup,17,307,0.99
Herbal Tomato Crackers,36,235,0.99
Fresh Oat Nuggets,5,310,0.99
Fusion Garden Soup,38,330,0.99
Glazed Chili Protein Bar,36,494,0.99
Wholesome Berry Medley,31,429,0.99
Zesty Tomato Delight,27,99,0.99
Herbal Garden Nuggets,16,333,0.99
Savory Chicken Strips,6,358,0.99
Premium Veggie Strips,19,406,0.99
Classic Garden Stew,31,567,0.99
Spicy Herb Pasta,4,164,0.99
Roasted Maple Mix,30,577,0.99
Crispy Beef Energy Mix,3,396,0.99
Wild Protein Strips,1,351,0.99
Glazed Chili Energy Mix,23,513,0.99
Wild Tomato Blend,4,263,0.99
Tangy Nut Bites,39,448,0.99
Savory Nut Strips,29,455,0.99
Wholesome Almond Stew,3,94,0.99
Glazed Garden Wafers,29,79,0.99
Wholesome Tomato Crumbles,19,255,0.99
Glazed Pepper Stew,16,337,0.99
Herbal Oat Soup,27,567,0.99
Hearty Berry Pasta,9,285,0.99
Zesty Tomato Pasta,13,398,0.99
Roasted Almond Wafers,2,382,0.99
Tangy Berry Bites,4,549,0.99
Spicy Cocoa Bites,19,433,0.99
Herbal Herb Medley,37,503,0.99
Wild Grain Stew,2,177,0.99
Premium Oat Slices,1,211,0.99
Crispy Tomato Crunch,32,499,0.99
Spicy Peanut Granola,27,584,0.99
Tangy Cocoa Mix,1,253,0.99
Sweet Maple Soup,2,285,0.99
Organic Honey Energy Mix,31,245,0.99
Smoked Cocoa Chunks,34,443,0.99
Fusion Cocoa Stew,7,148,0.99
Spicy Fruit Wafers,6,178,0.99
Tangy Grain Strips,4,53,0.99
Rustic Veggie Protein Bar,21,413,0.99
Smoked Berry Slices,23,241,0.99
Fresh Pepper Pasta,22,398,0.99
Glazed Oat Wafers,16,431,0.99
Hearty Honey Mix,20,505,0.99
Tangy Protein Crumbles,7,432,0.99
Classic Garden Delight,12,115,0.99
Golden Garden Nuggets,7,573,0.99
Wild Vanilla Pasta,23,309,0.99
Savory Chicken Crackers,39,456,0.99
Golden Herb Bites,12,288,0.99
Wholesome Vanilla Rice,24,514,0.99
Hearty Beef Crunch,3,311,0.99
Spicy Grain Granola,1,97,0.99
Wholesome Fruit Crunch,8,288,0.99
Wild Pepper Blend,1,484,0.99
Tangy Almond Crackers,39,423,0.99
Wild Berry Bites,30,221,0.99
Herbal Grain Crumbles,37,544,0.99
Golden Nut Rice,9,412,0.99
Tangy Peanut Crackers,37,132,0.99
Fresh Vanilla Wafers,2,386,0.99
Organic Honey Protein Bar,26,567,0.99
Roasted Berry Soup,36,157,0.99
Sweet Veggie Rice,16,486,0.99
Spicy Chili Crunch,12,387,0.99
Roasted Chili Energy Mix,13,463,0.99
Tangy Beef Crackers,35,83,0.99
Zesty Chili Nuggets,36,414,0.99
Hearty Pepper Wafers,7,535,0.99
Classic Fruit Nuggets,26,474,0.99
Hearty Tomato Crumbles,3,476,0.99
Herbal Maple Soup,2,510,0.99
Tangy Chili Granola,15,301,0.99
Wild Maple Pasta,1,376,0.99
Hearty Vanilla Energy Mix,22,552,0.99
Golden Maple Crunch,3,490,0.99
Classic Nut Rice,34,93,0.99
Premium Nut Soup,2,310,0.99
Golden Maple Chunks,2,446,0.99
Sweet Grain Crunch,26,597,0.99
Wholesome Oat Mix,33,378,0.99
Herbal Almond Wafers,3,302,0.99
Fusion Nut Crackers,38,300,0.99
Rustic Almond Pasta,39,96,0.99
Fresh Honey Blend,27,177,0.99
Zesty Grain Strips,36,56,0.99
Smoked Chili Blend,40,167,0.99
Zesty Herb Slices,40,215,0.99
Fusion Honey Protein Bar,19,340,0.99
Glazed Berry Delight,21,384,0.99
Wild Nut Medley,12,578,0.99
Spicy Pepper Slices,23,346,0.99
Premium Fruit Rice,21,335,0.99
Zesty Cocoa Blend,13,233,0.99
Savory Peanut Bites,16,102,0.99
Tangy Chili Granola,29,246,0.99
Tangy Vanilla Soup,31,545,0.99
Golden Vanilla Soup,27,193,0.99
Tangy Vanilla Soup,4,494,0.99
Tangy Tomato Nuggets,32,515,0.99
Fresh Fruit Chunks,5,202,0.99
Wild Veggie Crackers,25,390,0.99
Savory Chicken Mix,26,136,0.99
Wholesome Honey Blend,28,286,0.99
Smoked Chicken Rice,1,79,0.99
Organic Almond Crackers,30,119,0.99
Savory Oat Energy Mix,17,70,0.99
Glazed Garden Rice,31,480,0.99
Hearty Vanilla Protein Bar,15,151,0.99
Glazed Grain Wafers,32,338,0.99
Fresh Cocoa Crunch,32,471,0.99
Fresh Veggie Blend,8,371,0.99
Golden Veggie Wafers,5,120,0.99
Wholesome Honey Bites,38,491,0.99
Hearty Herb Soup,14,103,0.99
Golden Vanilla Slices,17,402,0.99
Roasted Maple Delight,35,427,0.99
Tangy Oat Chunks,23,540,0.99
Tangy Herb Slices,22,499,0.99
Hearty Cocoa Rice,30,515,0.99
Hearty Chicken Stew,35,239,0.99
Glazed Cocoa Chunks,33,411,0.99
Fusion Veggie Blend,27,78,0.99
Spicy Berry Chunks,19,108,0.99
Wholesome Almond Bites,34,511,0.99
Smoked Chicken Delight,29,470,0.99
Organic Vanilla Mix,5,303,0.99
Spicy Fruit Strips,33,223,0.99
Roasted Tomato Pasta,13,422,0.99
Rustic Grain Bites,5,517,0.99
Spicy Maple Crackers,24,458,0.99
Savory Oat Crackers,9,234,0.99
Tangy Beef Delight,16,494,0.99
Fusion Oat Chunks,31,126,0.99
Premium Almond Delight,39,73,0.99
Wholesome Berry Mix,4,398,0.99
Fusion Almond Blend,1,595,0.99
Classic Cocoa Stew,32,398,0.99
Fresh Grain Mix,18,204,0.99
Classic Beef Stew,7,154,0.99
Fusion Protein Blend,13,394,0.99
Sweet Chili Strips,9,416,0.99
Classic Protein Chunks,27,89,0.99
Fresh Almond Slices,19,144,0.99
Glazed Veggie Slices,24,217,0.99
Tangy Garden Blend,21,310,0.99
Herbal Nut Crumbles,2,411,0.99
Rustic Beef Protein Bar,28,352,0.99
Tangy Oat Crunch,34,158,0.99
Spicy Vanilla Strips,38,395,0.99
Tangy Chicken Stew,33,362,0.99
Tangy Vanilla Crackers,35,552,0.99
Crispy Veggie Blend,26,332,0.99
Spicy Pepper Nuggets,12,376,0.99
Tangy Vanilla Strips,10,351,0.99
Classic Fruit Medley,30,592,0.99
Golden Almond Mix,38,337,0.99
Sweet Berry Energy Mix,23,390,0.99
Rustic Vanilla Strips,29,226,0.99
Roasted Maple Rice,32,325,0.99
Premium Berry Wafers,1,190,0.99
Herbal Vanilla Bites,26,528,0.99
Premium Pepper Nuggets,21,164,0.99
Crispy Fruit Energy Mix,28,404,0.99
Classic Vanilla Wafers,8,352,0.99
Crispy Garden Medley,20,115,0.99
Classic Chili Crunch,19,537,0.99
Classic Peanut Crumbles,27,419,0.99
Glazed Almond Crumbles,25,130,0.99
Fresh Garden Medley,14,545,0.99
Classic Vanilla Delight,18,388,0.99
Sweet Almond Delight,14,514,0.99
Golden Chicken Delight,24,111,0.99
Classic Tomato Slices,27,406,0.99
Roasted Grain Soup,4,474,0.99
Wild Protein Bites,33,403,0.99
Tangy Tomato Pasta,7,176,0.99
Sweet Grain Wafers,13,357,0.99
Savory Fruit Strips,22,329,0.99
Fresh Veggie Granola,13,141,0.99
Classic Pepper Crunch,11,599,0.99
Wholesome Almond Wafers,10,118,0.99
Roasted Beef Strips,39,424,0.99
Wild Nut Delight,12,467,0.99
Rustic Protein Stew,27,118,0.99
Wholesome Nut Pasta,14,553,0.99
Fresh Maple Wafers,28,395,0.99
Rustic Protein Strips,26,591,0.99
Roasted Nut Soup,6,387,0.99
Glazed Beef Bites,12,443,0.99
Premium Berry Slices,21,208,0.99
Sweet Chicken Crumbles,6,139,0.99
Smoked Vanilla Crackers,21,498,0.99
Roasted Beef Rice,3,154,0.99
Savory Peanut Stew,8,289,0.99
Wild Oat Crackers,30,427,0.99
Classic Peanut Nuggets,37,543,0.99
Organic Nut Protein Bar,11,308,0.99
Spicy Chicken Crunch,4,522,0.99
Zesty Chicken Wafers,29,140,0.99
Hearty Oat Delight,32,281,0.99
Rustic Vanilla Wafers,36,274,0.99
Tangy Pepper Soup,21,245,0.99
Organic Honey Granola,26,479,0.99
Wholesome Chicken Mix,26,391,0.99
Glazed Tomato Delight,21,341,0.99
Herbal Nut Bites,20,161,0.99
Classic Tomato Rice,20,90,0.99
Smoked Pepper Nuggets,23,198,0.99
Fusion Herb Granola,39,333,0.99
Savory Tomato Mix,26,424,0.99
Classic Grain Delight,28,50,0.99
Golden Protein Strips,39,66,0.99
Spicy Fruit Crunch,23,528,0.99
Fusion Oat Wafers,5,507,0.99
Glazed Maple Stew,14,523,0.99
Sweet Honey Blend,7,387,0.99
Sweet Tomato Delight,14,411,0.99
Fusion Garden Crunch,35,231,0.99
Tangy Garden Crackers,16,71,0.99
Roasted Beef Crumbles,34,61,0.99
Savory Peanut Mix,12,149,0.99
Golden Garden Bites,36,385,0.99
Herbal Protein Medley,10,569,0.99
Wholesome Chili Wafers,19,516,0.99
Rustic Cocoa Rice,31,215,0.99
Rustic Veggie Energy Mix,6,514,0.99
Fresh Vanilla Granola,32,341,0.99
Herbal Grain Pasta,6,451,0.99
Herbal Berry Nuggets,3,464,0.99
Glazed Herb Granola,3,189,0.99
Rustic Chili Medley,14,502,0.99
Crispy Chili Bites,21,560,0.99
Smoked Maple Wafers,2,142,0.99
Roasted Cocoa Crumbles,2,447,0.99
Premium Garden Chunks,26,383,0.99
Roasted Tomato Rice,31,263,0.99
Rustic Protein Chunks,13,265,0.99
Organic Chicken Blend,30,140,0.99
Sweet Chili Stew,27,586,0.99
Fusion Nut Pasta,9,426,0.99
Glazed Maple Crumbles,38,104,0.99
Crispy Herb Bites,15,375,0.99
Glazed Herb Soup,19,555,0.99
Crispy Veggie Slices,26,84,0.99
Sweet Berry Mix,23,155,0.99
Wild Herb Mix,3,90,0.99
Savory Vanilla Medley,18,567,0.99
Glazed Beef Crumbles,20,316,0.99
Rustic Oat Chunks,24,435,0.99
Classic Peanut Protein Bar,10,542,0.99
Crispy Grain Delight,30,403,0.99
Spicy Chicken Medley,37,354,0.99
Fresh Veggie Pasta,33,418,0.99
Hearty Herb Chunks,2,449,0.99
Crispy Protein Crumbles,36,286,0.99
Smoked Cocoa Protein Bar,1,121,0.99
Golden Chicken Bites,34,265,0.99
Glazed Fruit Blend,1,474,0.99
Organic Veggie Rice,38,487,0.99
Fusion Protein Crumbles,32,508,0.99
Classic Vanilla Protein Bar,10,591,0.99
Glazed Fruit Crunch,13,231,0.99
Wholesome Chili Blend,39,494,0.99
Herbal Protein Strips,18,211,0.99
Wholesome Oat Chunks,12,563,0.99
Spicy Pepper Crumbles,16,91,0.99
Savory Almond Medley,21,193,0.99
Wild Peanut Bites,4,242,0.99
Smoked Cocoa Slices,24,572,0.99
Glazed Almond Soup,1,164,0.99
Golden Peanut Nuggets,1,73,0.99
Hearty Cocoa Strips,12,102,0.99
Hearty Peanut Crackers,23,505,0.99
Premium Grain Pasta,31,378,0.99
Classic Garden Chunks,13,276,0.99
Classic Pepper Strips,20,214,0.99
Zesty Honey Crunch,8,447,0.99
Classic Chili Granola,29,389,0.99
Fresh Tomato Medley,15,447,0.99
Fresh Berry Protein Bar,33,99,0.99
Rustic Oat Delight,1,403,0.99
Crispy Grain Nuggets,40,400,0.99
Spicy Peanut Crackers,12,515,0.99
Wild Grain Pasta,30,149,0.99
Herbal Oat Slices,4,135,0.99
Rustic Oat Rice,35,299,0.99
Zesty Protein Crumbles,37,469,0.99
Wild Almond Bites,10,557,0.99
Herbal Maple Blend,8,514,0.99
Crispy Vanilla Chunks,2,227,0.99
Premium Chili Rice,34,432,0.99
Fresh Herb Delight,28,373,0.99
Zesty Beef Bites,27,155,0.99
Wholesome Pepper Pasta,10,199,0.99
Tangy Pepper Rice,36,571,0.99
Sweet Fruit Blend,14,186,0.99
Savory Tomato Medley,32,236,0.99
Fusion Pepper Granola,29,481,0.99
Premium Herb Blend,24,137,0.99
Spicy Herb Crumbles,16,207,0.99
Golden Fruit Protein Bar,12,256,0.99
Rustic Pepper Delight,33,286,0.99
Zesty Nut Nuggets,13,171,0.99
Smoked Nut Pasta,32,262,0.99
Zesty Garden Protein Bar,5,379,0.99
Tangy Beef Rice,28,597,0.99
Wild Grain Stew,39,299,0.99
Golden Chicken Blend,10,256,0.99
Wild Almond Mix,5,450,0.99
Wild Nut Crunch,14,450,0.99
Wild Vanilla Pasta,17,342,0.99
Savory Grain Strips,7,417,0.99
Golden Berry Bites,12,273,0.99
Zesty Veggie Slices,1,347,0.99
Classic Protein Pasta,13,319,0.99
Classic Grain Protein Bar,33,516,0.99
Tangy Almond Strips,4,452,0.99
Zesty Peanut Wafers,12,415,0.99
Spicy Cocoa Bites,7,452,0.99
Organic Veggie Rice,39,78,0.99
Fresh Grain Soup,11,595,0.99
Classic Almond Nuggets,2,381,0.99
Wholesome Almond Rice,36,116,0.99
Premium Berry Soup,20,444,0.99
Fresh Peanut Crackers,33,498,0.99
Savory Almond Nuggets,16,311,0.99
Wholesome Almond Mix,14,89,0.99
Herbal Chicken Granola,18,264,0.99
Classic Fruit Mix,16,361,0.99
Herbal Almond Crunch,20,114,0.99
Herbal Garden Wafers,21,147,0.99
Spicy Almond Wafers,4,110,0.99
Savory Berry Delight,10,337,0.99
Spicy Pepper Wafers,20,473,0.99
Tangy Nut Pasta,7,320,0.99
Zesty Veggie Soup,40,306,0.99
Organic Peanut Protein Bar,5,458,0.99
Crispy Tomato Soup,21,442,0.99
Premium Tomato Pasta,37,337,0.99
Sweet Peanut Chunks,5,580,0.99
Crispy Cocoa Blend,34,475,0.99
Tangy Honey Crackers,20,355,0.99
Wild Honey Granola,10,122,0.99
Roasted Oat Strips,8,433,0.99
Golden Pepper Bites,7,592,0.99
Tangy Vanilla Nuggets,13,471,0.99
Hearty Pepper Crackers,31,265,0.99
Herbal Maple Rice,23,445,0.99
Rustic Cocoa Delight,31,518,0.99
Hearty Protein Granola,19,199,0.99
Herbal Peanut Soup,38,528,0.99
Fusion Oat Stew,9,204,0.99
Premium Pepper Mix,23,540,0.99
Fresh Grain Wafers,35,268,0.99
Smoked Oat Mix,28,522,0.99
Tangy Berry Slices,26,171,0.99
Classic Cocoa Mix,10,263,0.99
Wild Beef Rice,23,228,0.99
Glazed Peanut Crumbles,24,532,0.99
Roasted Cocoa Energy Mix,2,108,0.99
Premium Vanilla Granola,37,597,0.99
Fusion Oat Nuggets,23,407,0.99
Zesty Chili Soup,34,329,0.99
Roasted Veggie Nuggets,34,318,0.99
Wholesome Grain Bites,6,461,0.99
Smoked Peanut Protein Bar,14,172,0.99
Tangy Vanilla Strips,24,267,0.99
Glazed Grain Mix,40,381,0.99
Golden Grain Delight,30,304,0.99
Herbal Berry Crackers,8,198,0.99
Glazed Chili Slices,4,524,0.99
Spicy Veggie Stew,19,477,0.99
Smoked Chili Bites,22,338,0.99
Rustic Chili Rice,5,375,0.99
Tangy Almond Soup,12,537,0.99
Wild Fruit Bites,5,431,0.99
Wild Veggie Wafers,32,359,0.99
Rustic Oat Nuggets,33,416,0.99
Tangy Vanilla Crumbles,29,474,0.99
Glazed Chicken Mix,13,365,0.99
Crispy Grain Soup,13,573,0.99
Classic Tomato Delight,34,451,0.99
Organic Garden Crunch,29,180,0.99
Tangy Cocoa Delight,19,540,0.99
Sweet Veggie Crunch,38,96,0.99
Herbal Pepper Slices,28,409,0.99
Tangy Protein Slices,5,55,0.99
Crispy Veggie Strips,6,186,0.99
Herbal Honey Medley,1,312,0.99
Wild Herb Medley,38,455,0.99
Sweet Maple Soup,13,78,0.99
Fusion Peanut Stew,9,188,0.99
Hearty Beef Nuggets,7,480,0.99
Fusion Beef Rice,17,509,0.99
Tangy Herb Crackers,29,198,0.99
Classic Honey Medley,7,355,0.99
Smoked Pepper Mix,25,598,0.99
Classic Honey Slices,1,160,0.99
Fresh Honey Protein Bar,4,409,0.99
Wholesome Chicken Strips,1,534,0.99
Spicy Berry Wafers,36,226,0.99
Classic Protein Energy Mix,3,523,0.99
Wholesome Fruit Strips,37,505,0.99
Premium Peanut Granola,18,104,0.99
Tangy Herb Nuggets,14,457,0.99
Crispy Pepper Bites,10,246,0.99
Fusion Honey Strips,8,367,0.99
Classic Berry Rice,31,58,0.99
Hearty Peanut Chunks,6,450,0.99
Wild Fruit Protein Bar,16,351,0.99
Premium Almond Wafers,14,208,0.99
Fusion Veggie Stew,5,64,0.99
Classic Fruit Protein Bar,34,426,0.99
Sweet Tomato Nuggets,16,562,0.99
Wild Chili Granola,28,457,0.99
Zesty Herb Crackers,36,564,0.99
Golden Protein Protein Bar,25,393,0.99
Fresh Berry Strips,38,254,0.99
Classic Nut Slices,20,154,0.99
Glazed Beef Wafers,24,177,0.99
Wild Grain Crunch,24,583,0.99
Herbal Berry Pasta,35,426,0.99
Savory Beef Rice,34,254,0.99
Fresh Almond Chunks,30,67,0.99
Spicy Garden Granola,4,313,0.99
Spicy Protein Medley,19,167,0.99
Glazed Berry Rice,1,430,0.99
Premium Chili Crumbles,36,560,0.99
Tangy Garden Mix,17,79,0.99
Wholesome Honey Crunch,25,222,0.99
Zesty Garden Protein Bar,10,214,0.99
Classic Beef Slices,30,520,0.99
Herbal Garden Bites,34,251,0.99
Wholesome Almond Medley,5,70,0.99
Herbal Grain Energy Mix,7,285,0.99
Crispy Honey Protein Bar,32,215,0.99
Crispy Almond Medley,6,531,0.99
Herbal Chicken Stew,26,102,0.99
Sweet Fruit Energy Mix,16,233,0.99
Organic Cocoa Bites,6,363,0.99
Wholesome Protein Chunks,12,91,0.99
Hearty Fruit Crunch,5,435,0.99
Roasted Protein Energy Mix,40,432,0.99
Zesty Garden Slices,35,537,0.99
Fusion Oat Crackers,38,581,0.99
Wholesome Honey Crunch,14,239,0.99
Zesty Herb Bites,4,126,0.99
Smoked Beef Soup,28,60,0.99
Herbal Herb Energy Mix,26,316,0.99
Hearty Veggie Slices,17,171,0.99
Spicy Grain Crunch,22,499,0.99
Fusion Oat Granola,30,52,0.99
Sweet Chili Rice,23,431,0.99
Premium Chicken Crunch,17,540,0.99
Hearty Peanut Rice,38,200,0.99
Spicy Almond Strips,20,582,0.99
