foodName,proteinAmt,calorieAmt,cost
Organic Almond Crumbles,8,163,0.99
Premium Oat Mix,23,512,0.99
Wild Maple Delight,39,151,0.99
Golden Vanilla Bites,23,478,0.99
Smoked Beef Wafers,25,204,0.99
Hearty Vanilla Soup,34,374,0.99
Wild Chicken Energy Mix,39,110,0.99
Golden Protein Delight,33,428,0.99
Tangy Grain Energy Mix,40,512,0.99
Wholesome Cocoa Mix,39,190,0.99
Herbal Oat Energy Mix,23,524,0.99
Savory Berry Protein Bar,25,541,0.99
Sweet Almond Blend,35,361,0.99
Fresh Protein Medley,1,486,0.99
Crispy Oat Crackers,36,336,0.99
Glazed Beef Wafers,18,578,0.99
Savory Oat Energy Mix,37,276,0.99
Rustic Nut Rice,6,168,0.99
Sweet Garden Stew,39,160,0.99
Smoked Chili Soup,17,222,0.99
Golden Beef Nuggets,32,167,0.99
Zesty Protein Delight,29,256,0.99
Crispy Pepper Nuggets,39,458,0.99
Zesty Honey Pasta,10,317,0.99
Premium Almond Nuggets,30,212,0.99
Premium Tomato Strips,39,169,0.99
Tangy Beef Slices,8,365,0.99
Golden Tomato Mix,35,564,0.99
Savory Vanilla Bites,8,579,0.99
Classic Peanut Bites,18,333,0.99
Hearty Peanut Pasta,1,427,0.99
Fusion Beef Crumbles,15,313,0.99
Hearty Nut Protein Bar,15,175,0.99
Smoked Maple Mix,31,94,0.99
Sweet Honey Nuggets,14,467,0.99
Glazed Fruit Pasta,24,329,0.99
Tangy Fruit Nuggets,30,138,0.99
Wild Protein Blend,2,437,0.99
Herbal Grain Crackers,14,536,0.99
Glazed Oat Rice,15,204,0.99
Premium Grain Protein Bar,30,408,0.99
Smoked Beef Blend,15,76,0.99
Fresh Oat Protein Bar,30,278,0.99
Wild Herb Energy Mix,16,148,0.99
Golden Cocoa Granola,13,471,0.99
Crispy Vanilla Rice,14,159,0.99
Smoked Protein Crackers,8,313,0.99
Hearty Protein Strips,9,270,0.99
Sweet Nut Crumbles,17,371,0.99
Rustic Almond Rice,39,357,0.99
Organic Pepper Wafers,18,231,0.99
Fusion Grain Delight,38,416,0.99
Wholesome Chicken Soup,30,95,0.99
Herbal Fruit Protein Bar,31,598,0.99
Hearty Tomato Granola,21,239,0.99
Wild Pepper Soup,16,81,0.99
Wholesome Beef Blend,17,133,0.99
Classic Peanut Soup,29,575,0.99
Zesty Tomato Strips,8,314,0.99
Sweet Garden Soup,4,438,0.99
Classic Pepper Rice,10,306,0.99
Fusion Tomato Granola,23,345,0.99
Rustic Herb Delight,16,325,0.99
Organic Grain Strips,25,342,0.99
Glazed Honey Pasta,16,368,0.99
Glazed Maple Bites,7,351,0.99
Spicy Fruit Bites,28,250,0.99
Rustic Almond Crumbles,39,55,0.99
Glazed Cocoa Crackers,3,105,0.99
Tangy Berry Soup,10,156,0.99
Savory Peanut Crunch,26,287,0.99
Golden Protein Soup,4,166,0.99
Hearty Almond Slices,34,209,0.99
Glazed Pepper Wafers,15,88,0.99
Roasted Grain Slices,26,52,0.99
Tangy Peanut Crackers,23,454,0.99
Classic Protein Pasta,1,291,0.99
Crispy Nut Soup,34,581,0.99
Crispy Beef Mix,22,306,0.99
Wild Chili Wafers,19,410,0.99
Smoked Oat Protein Bar,9,447,0.99
Classic Berry Medley,3,218,0.99
Classic Maple Rice,38,97,0.99
Wholesome Vanilla Bites,22,100,0.99
Zesty Berry Energy Mix,6,496,0.99
Roasted Beef Delight,19,61,0.99
Savory Chicken Crunch,5,510,0.99
Tangy Fruit Energy Mix,38,249,0.99
Savory Herb Medley,27,415,0.99
Roasted Garden Slices,19,345,0.99
Fresh Cocoa Pasta,23,121,0.99
Zesty Berry Strips,24,421,0.99
Crispy Berry Soup,11,204,0.99
Wild Berry Nuggets,30,458,0.99
Wholesome Almond Pasta,2,425,0.99
Smoked Fruit Bites,28,95,0.99
Golden Tomato Energy Mix,14,584,0.99
Premium Peanut Stew,21,509,0.99
Tangy Chicken Medley,15,276,0.99
Crispy Almond Blend,31,500,0.99
Savory Cocoa Crackers,21,102,0.99
Glazed Vanilla Blend,24,331,0.99
Roasted Berry Granola,26,299,0.99
Smoked Veggie Wafers,1,419,0.99
Golden Chili Crunch,3,115,0.99
Sweet Honey Medley,22,185,0.99
Zesty Maple Blend,22,94,0.99
Fresh Pepper Protein Bar,23,271,0.99
Tangy Veggie Nuggets,22,179,0.99
Premium Tomato Wafers,1,441,0.99
Premium Fruit Granola,22,296,0.99
Fresh Fruit Energy Mix,36,404,0.99
Savory Peanut Strips,12,126,0.99
Wild Grain Strips,11,80,0.99
Premium Honey Soup,1,95,0.99
Zesty Veggie Slices,30,149,0.99
Smoked Almond Stew,14,510,0.99
Golden Oat Stew,21,482,0.99
Classic Protein Strips,2,469,0.99
Classic Tomato Energy Mix,25,328,0.99
Tangy Maple Slices,15,130,0.99
Roasted Honey Stew,4,284,0.99
Rustic Garden Bites,24,335,0.99
Sweet Berry Crumbles,13,352,0.99
Sweet Grain Medley,27,384,0.99
Zesty Oat Slices,6,592,0.99
Zesty Honey Wafers,18,166,0.99
Crispy Chili Bites,25,126,0.99
Spicy Pepper Mix,23,506,0.99
Golden Pepper Crackers,20,397,0.99
Golden Pepper Medley,6,513,0.99
Crispy Pepper Bites,23,539,0.99
Savory Peanut Soup,39,584,0.99
Fresh Veggie Rice,3,203,0.99
Zesty Nut Stew,10,580,0.99
Crispy Pepper Wafers,12,560,0.99
Herbal Cocoa Pasta,14,390,0.99
Premium Berry Bites,18,573,0.99
Golden Oat Wafers,38,382,0.99
Roasted Cocoa Blend,21,376,0.99
Roasted Fruit Crunch,5,407,0.99
Savory Pepper Crackers,4,314,0.99
Glazed Tomato Crumbles,5,103,0.99
Fresh Chicken Strips,4,188,0.99
Sweet Peanut Granola,36,590,0.99
Hearty Garden Energy Mix,2,458,0.99
Roasted Protein Stew,18,440,0.99
Herbal Almond Protein Bar,11,235,0.99
Glazed Tomato Granola,20,550,0.99
Rustic Honey Slices,33,225,0.99
Spicy Maple Wafers,2,388,0.99
Fresh Protein Wafers,30,515,0.99
Herbal Herb Chunks,1,411,0.99
Herbal Beef Mix,2,403,0.99
Golden Maple Rice,7,59,0.99
Premium Pepper Granola,30,224,0.99
Wholesome Fruit Nuggets,34,126,0.99
Savory Beef Crunch,24,146,0.99
Golden Vanilla Delight,29,359,0.99
Tangy Veggie Blend,33,207,0.99
Wild Herb Delight,16,483,0.99
Rustic Tomato Nuggets,33,198,0.99
Smoked Protein Energy Mix,37,96,0.99
Tangy Chicken Blend,3,156,0.99
Zesty Veggie Blend,2,108,0.99
Zesty Grain Medley,13,134,0.99
Wild Chili Stew,10,98,0.99
Fresh Nut Stew,26,549,0.99
Rustic Chicken Crunch,34,171,0.99
Sweet Garden Soup,6,372,0.99
Savory Veggie Pasta,10,197,0.99
Wild Veggie Strips,39,82,0.99
Herbal Oat Granola,9,214,0.99
Zesty Fruit Nuggets,20,514,0.99
Roasted Pepper Pasta,40,593,0.99
Herbal Peanut Crumbles,39,299,0.99
Roasted Pepper Stew,16,167,0.99
Herbal Almond Stew,22,505,0.99
Golden Fruit Blend,4,585,0.99
Spicy Oat Rice,16,211,0.99
Classic Cocoa Granola,20,278,0.99
Herbal Maple Rice,24,345,0.99
Sweet Fruit Rice,38,207,0.99
Rustic Oat Mix,13,594,0.99
Crispy Protein Wafers,11,400,0.99
Roasted Cocoa Soup,33,292,0.99
Hearty Oat Crumbles,26,121,0.99
Glazed Protein Pasta,7,277,0.99
Classic Herb Slices,37,341,0.99
Sweet Pepper Protein Bar,23,580,0.99
Smoked Peanut Crackers,38,248,0.99
Savory Maple Crumbles,4,147,0.99
Sweet Nut Slices,35,583,0.99
Rustic Chicken Granola,28,423,0.99
Herbal Peanut Soup,6,419,0.99
Wild Fruit Delight,1,416,0.99
Organic Protein Stew,21,204,0.99
Roasted Beef Rice,24,559,0.99
Savory Peanut Soup,14,309,0.99
Roasted Nut Pasta,15,78,0.99
Sweet Maple Nuggets,13,440,0.99
Herbal Berry Crumbles,1,285,0.99
Sweet Oat Pasta,13,130,0.99
Golden Tomato Slices,28,159,0.99
Wholesome Oat Nuggets,1,277,0.99
Zesty Tomato Strips,27,505,0.99
Smoked Chicken Blend,3,393,0.99
Roasted Pepper Crunch,31,554,0.99
Smoked Garden Soup,37,240,0.99
Smoked Oat Medley,20,394,0.99
Hearty Peanut Strips,24,104,0.99
Zesty Pepper Crackers,35,290,0.99
Golden Chicken Nuggets,24,377,0.99
Savory Honey Mix,26,171,0.99
Smoked Tomato Chunks,36,508,0.99
Sweet Chicken Wafers,28,265,0.99
Sweet Herb Crackers,2,560,0.99
Premium Grain Crunch,33,242,0.99
Glazed Chicken Stew,30,527,0.99
Hearty Nut Bites,10,479,0.99
Wild Tomato Blend,5,310,0.99
Wholesome Herb Soup,39,192,0.99
Fusion Berry Soup,16,516,0.99
Organic Vanilla Bites,34,298,0.99
Crispy Maple Energy Mix,35,377,0.99
Glazed Protein Granola,3,341,0.99
Golden Veggie Medley,25,524,0.99
Smoked Beef Crunch,5,585,0.99
Savory Almond Pasta,21,234,0.99
Herbal Herb Mix,26,134,0.99
Premium Oat Slices,16,74,0.99
Golden Peanut Bites,22,584,0.99
Glazed Maple Crumbles,11,450,0.99
Rustic Protein Strips,17,518,0.99
Hearty Honey Delight,26,112,0.99
Fresh Garden Slices,30,539,0.99
Rustic Chicken Slices,35,282,0.99
Classic Veggie Slices,34,90,0.99
Sweet Chicken Protein Bar,11,568,0.99
Premium Cocoa Blend,33,71,0.99
Sweet Fruit Soup,38,212,0.99
Fresh Protein Chunks,4,181,0.99
Hearty Maple Pasta,19,535,0.99
Classic Grain Wafers,35,193,0.99
Herbal Vanilla Pasta,9,336,0.99
Herbal Berry Slices,16,378,0.99
Spicy Protein Pasta,5,522,0.99
Tangy Berry Stew,27,485,0.99
Fusion Grain Crumbles,11,117,0.99
Smoked Chicken Protein Bar,32,567,0.99
Organic Pepper Energy Mix,23,408,0.99
Crispy Honey Energy Mix,4,295,0.99
Fusion Fruit Granola,34,338,0.99
Spicy Peanut Crumbles,36,582,0.99
Crispy Almond Slices,38,358,0.99
Fresh Peanut Chunks,1,435,0.99
Crispy Honey Protein Bar,14,128,0.99
Premium Peanut Wafers,4,492,0.99
Hearty Cocoa Granola,8,268,0.99
Organic Garden Protein Bar,35,348,0.99
Golden Pepper Wafers,10,281,0.99
Premium Herb Crunch,2,333,0.99
Wild Grain Pasta,12,448,0.99
Sweet Honey Chunks,26,506,0.99
Classic Fruit Chunks,20,189,0.99
Rustic Garden Protein Bar,39,499,0.99
Wild Veggie Slices,26,278,0.99
Hearty Protein Crumbles,25,551,0.99
Fresh Chicken Crumbles,12,307,0.99
Sweet Tomato Strips,2,66,0.99
Hearty Almond Medley,19,361,0.99
Fusion Tomato Soup,22,427,0.99
Smoked Nut Pasta,35,325,0.99
Fresh Maple Delight,34,392,0.99
Rustic Pepper Pasta,26,217,0.99
Roasted Maple Energy Mix,29,444,0.99
Fresh Herb Blend,12,380,0.99
Tangy Garden Strips,37,475,0.99
Golden Oat Granola,26,311,0.99
Premium Honey Soup,4,175,0.99
Tangy Berry Wafers,37,353,0.99
Wild Chicken Strips,38,326,0.99
Wild Berry Granola,17,55,0.99
Rustic Maple Rice,3,403,0.99
Sweet Veggie Crackers,11,260,0.99
Premium Peanut Rice,39,582,0.99
Rustic Honey Bites,40,541,0.99
Hearty Beef Wafers,2,149,0.99
Roasted Garden Wafers,7,586,0.99
Wholesome Herb Stew,26,139,0.99
Premium Maple Slices,17,383,0.99
Organic Honey Medley,13,252,0.99
Rustic Berry Crunch,19,476,0.99
Wholesome Honey Chunks,32,60,0.99
Rustic Nut Crunch,38,103,0.99
Tangy Vanilla Chunks,9,373,0.99
Rustic Cocoa Delight,19,217,0.99
Golden Almond Medley,29,477,0.99
Spicy Grain Rice,39,173,0.99
Hearty Chicken Crunch,25,573,0.99
Herbal Berry Soup,39,387,0.99
Glazed Pepper Stew,17,317,0.99
Classic Garden Blend,12,593,0.99
Hearty Almond Chunks,5,281,0.99
Smoked Fruit Crumbles,37,434,0.99
Glazed Maple Chunks,4,458,0.99
Glazed Herb Strips,11,183,0.99
Classic Protein Slices,29,194,0.99
Glazed Protein Slices,30,138,0.99
Roasted Beef Slices,31,455,0.99
Fusion Vanilla Delight,9,287,0.99
Tangy Nut Crumbles,39,395,0.99
Fusion Oat Delight,3,473,0.99
Fresh Tomato Bites,36,387,0.99
Organic Oat Bites,37,416,0.99
Fusion Oat Energy Mix,24,410,0.99
Wholesome Peanut Bites,14,313,0.99
Classic Vanilla Crackers,28,70,0.99
Savory Maple Stew,17,212,0.99
Hearty Nut Pasta,31,361,0.99
Organic Garden Soup,23,278,0.99
Rustic Oat Crackers,25,404,0.99
Wild Protein Mix,15,171,0.99
Tangy Tomato Medley,19,488,0.99
Roasted Vanilla Energy Mix,25,561,0.99
Hearty Cocoa Chunks,35,156,0.99
Zesty Tomato Wafers,34,210,0.99
Premium Almond Nuggets,16,211,0.99
Wild Tomato Granola,24,419,0.99
Savory Cocoa Strips,39,463,0.99
Premium Herb Chunks,18,568,0.99
Hearty Maple Nuggets,4,113,0.99
Spicy Chili Crunch,3,341,0.99
Classic Cocoa Crunch,38,51,0.99
Fusion Nut Mix,22,316,0.99
Wild Cocoa Bites,7,467,0.99
Sweet Almond Wafers,14,279,0.99
Classic Veggie Granola,34,545,0.99
Herbal Peanut Crumbles,26,565,0.99
Classic Pepper Protein Bar,38,188,0.99
Organic Berry Soup,15,320,0.99
Fusion Vanilla Crackers,34,292,0.99
Glazed Peanut Strips,34,230,0.99
Roasted Vanilla Granola,5,249,0.99
Golden Tomato Mix,27,199,0.99
Hearty Protein Pasta,4,318,0.99
Tangy Garden Mix,7,537,0.99
Classic Maple Pasta,30,119,0.99
Glazed Vanilla Delight,3,191,0.99
Crispy Berry Crumbles,28,489,0.99
Zesty Tomato Chunks,16,256,0.99
Wholesome Veggie Nuggets,19,582,0.99
Hearty Protein Stew,21,169,0.99
Herbal Cocoa Bites,9,108,0.99
Organic Cocoa Mix,1,66,0.99
Glazed Peanut Granola,36,89,0.99
Crispy Chili Strips,10,535,0.99
Classic Maple Chunks,6,376,0.99
Premium Beef Soup,15,433,0.99
Hearty Chicken Medley,34,366,0.99
Zesty Berry Wafers,19,79,0.99
Glazed Herb Soup,26,233,0.99
Rustic Vanilla Pasta,10,495,0.99
Roasted Oat Delight,36,273,0.99
Fusion Protein Granola,29,161,0.99
Spicy Berry Strips,21,421,0.99
Roasted Peanut Mix,4,344,0.99
Rustic Beef Crumbles,40,191,0.99
Fresh Chili Pasta,24,314,0.99
Zesty Beef Pasta,15,451,0.99
Premium Protein Crunch,29,121,0.99
Hearty Cocoa Wafers,23,195,0.99
Zesty Garden Energy Mix,9,181,0.99
Herbal Herb Rice,11,206,0.99
Wholesome Nut Chunks,3,569,0.99
Smoked Chili Stew,12,596,0.99
Wild Herb Crunch,26,63,0.99
Wild Maple Medley,37,490,0.99
Classic Chicken Nuggets,34,518,0.99
Herbal Herb Slices,28,438,0.99
Sweet Berry Mix,7,389,0.99
Crispy Nut Protein Bar,22,263,0.99
Golden Herb Granola,25,474,0.99
Tangy Honey Medley,11,313,0.99
Fusion Beef Wafers,13,288,0.99
Zesty Vanilla Chunks,1,537,0.99
Fusion Oat Protein Bar,24,323,0.99
Hearty Herb Nuggets,17,271,0.99
Tangy Tomato Energy Mix,8,183,0.99
Hearty Pepper Nuggets,38,368,0.99
Classic Fruit Crunch,18,276,0.99
Rustic Honey Slices,18,454,0.99
Premium Honey Strips,4,286,0.99
Fresh Garden Crunch,28,524,0.99
Crispy Herb Protein Bar,38,208,0.99
Smoked Fruit Chunks,28,216,0.99
Roasted Berry Bites,17,568,0.99
Hearty Maple Chunks,38,170,0.99
Zesty Garden Mix,3,582,0.99
Fusion Honey Strips,22,423,0.99
Premium Protein Strips,13,184,0.99
Sweet Garden Delight,14,123,0.99
Zesty Chili Pasta,14,243,0.99
Rustic Berry Crumbles,13,546,0.99
Tangy Beef Stew,33,320,0.99
Wholesome Beef Crunch,12,552,0.99
Smoked Pepper Bites,33,189,0.99
Organic Grain Medley,35,161,0.99
Savory Grain Strips,18,267,0.99
Classic Herb Nuggets,32,427,0.99
Organic Beef Slices,18,295,0.99
Fresh Cocoa Energy Mix,20,97,0.99
Tangy Oat Rice,15,156,0.99
Savory Protein Slices,11,519,0.99
Fresh Almond Stew,37,491,0.99
Wild Beef Chunks,23,353,0.99
Glazed Garden Energy Mix,32,275,0.99
Smoked Nut Nuggets,38,98,0.99
Crispy Chili Crumbles,16,417,0.99
Fresh Peanut Mix,25,319,0.99
Glazed Protein Crunch,5,341,0.99
Wild Beef Stew,6,536,0.99
Spicy Almond Bites,5,317,0.99
Organic Honey Crackers,23,261,0.99
Sweet Grain Bites,12,588,0.99
Organic Maple Nuggets,31,436,0.99
Wild Protein Slices,3,527,0.99
Fresh Cocoa Strips,17,234,0.99
Tangy Oat Wafers,23,146,0.99
Wholesome Pepper Delight,23,214,0.99
Herbal Fruit Medley,12,258,0.99
Zesty Honey Crumbles,34,191,0.99
Herbal Protein Slices,16,97,0.99
Sweet Beef Bites,27,599,0.99
Classic Grain Stew,11,418,0.99
Tangy Beef Wafers,1,450,0.99
Wholesome Protein Blend,6,317,0.99
Fresh Tomato Strips,37,58,0.99
Wholesome Maple Crackers,14,244,0.99
Rustic Chicken Wafers,40,502,0.99
Smoked Cocoa Crunch,19,563,0.99
Classic Fruit Crumbles,3,68,0.99
Smoked Berry Strips,37,191,0.99
Crispy Protein Blend,1,176,0.99
Fresh Almond Soup,18,247,0.99
Glazed Beef Mix,26,138,0.99
Organic Berry Medley,38,431,0.99
Savory Chili Crunch,22,111,0.99
Smoked Beef Rice,26,346,0.99
Fusion Chili Chunks,33,516,0.99
Organic Fruit Soup,2,423,0.99
Smoked Pepper Bites,22,274,0.99
Classic Peanut Granola,6,112,0.99
Premium Almond Pasta,16,321,0.99
Spicy Chicken Strips,7,240,0.99
Glazed Almond Mix,26,316,0.99
Golden Fruit Granola,24,490,0.99
Golden Chicken Soup,40,432,0.99
Tangy Garden Crumbles,13,506,0.99
Sweet Oat Protein Bar,6,274,0.99
Zesty Herb Medley,31,119,0.99
Glazed Fruit Wafers,5,346,0.99
Classic Chili Nuggets,26,204,0.99
Golden Beef Bites,29,295,0.99
Wholesome Beef Crumbles,34,131,0.99
Organic Nut Medley,5,381,0.99
Smoked Fruit Crunch,9,270,0.99
Spicy Veggie Pasta,1,325,0.99
Organic Nut Strips,37,374,0.99
Wholesome Honey Bites,7,502,0.99
Tangy Herb Crackers,18,206,0.99
Glazed Grain Wafers,34,278,0.99
Savory Veggie Crackers,39,561,0.99
Crispy Honey Delight,30,493,0.99
Premium Oat Crunch,36,373,0.99
Fusion Beef Granola,3,188,0.99
Golden Pepper Soup,7,565,0.99
Golden Veggie Bites,33,426,0.99
Fusion Tomato Stew,29,371,0.99
Herbal Honey Crumbles,27,437,0.99
Smoked Cocoa Blend,3,143,0.99
Wild Fruit Medley,29,220,0.99
Wholesome Honey Mix,3,141,0.99
Tangy Garden Soup,18,258,0.99
Crispy Nut Strips,6,370,0.99
Spicy Cocoa Chunks,26,299,0.99
Sweet Pepper Chunks,8,413,0.99
Wholesome Veggie Rice,17,524,0.99
Crispy Honey Chunks,38,118,0.99
Classic Herb Granola,34,474,0.99
Sweet Chili Crumbles,40,404,0.99
Smoked Nut Pasta,5,59,0.99
Fresh Chili Bites,13,108,0.99
Golden Nut Chunks,30,508,0.99
Golden Pepper Crumbles,36,220,0.99
Organic Honey Stew,37,351,0.99
Smoked Protein Crumbles,34,386,0.99
Wild Chicken Rice,14,218,0.99
Roasted Oat Pasta,2,595,0.99
Premium Fruit Nuggets,14,391,0.99
